,ID,CentroidFlag,TAZID,On,Off
351,535,,,,
352,1082,,,,
353,1060,,,,
354,1758,,,,
355,1433,,,,
356,1434,,,,
357,1842,,,,
358,1431,,,,
359,1839,,,,
360,1416,,,,
361,1415,,,,
362,1414,,,,
363,2504,,,,
364,1364,,,,
365,1417,,,,
366,1418,,,,
367,2506,,,,
368,1362,,,,
369,1419,,,,
370,1430,,,,
371,1219,,,,
372,1218,,,,
373,1217,,,,
374,1429,,,,
375,1445,,,,
376,1844,,,,
377,1845,,,,
378,1756,,,,
379,1841,,,,
380,1838,,,,
381,1843,,,,
382,1840,,,,
383,1837,,,371.0198059082031,154.7081756591797
384,1836,,,,
385,1752,,,,
386,1400,,,,
387,1422,,,,
388,1834,,,,
389,1835,,,,
390,1833,,,322.1754455566406,127.29205322265625
391,1832,,,,
392,1984,,,,
393,2037,,,,
394,2033,,,,
395,2039,,,,
396,2036,,,,
397,2032,,,,
398,1291,,,,
399,1292,,,,
400,1830,,,,
401,1831,,,,
402,1235,,,,
403,1234,,,,
404,1236,,,,
405,1238,,,,
406,1237,,,160.16043090820312,168.8802490234375
407,1216,,,,
408,1214,,,,
409,1215,,,,
410,1223,,,,
411,1531,,,,
412,1570,,,,
413,1895,,,,
414,1569,,,,
415,1530,,,,
416,1889,,,,
417,1887,,,,
418,384,,,,
419,1884,,,,
420,1771,,,,
421,1893,,,,
422,1890,,,,
423,1897,,,,
424,1888,,,,
425,1896,,,,
426,1189,,,,
427,1498,,,,
428,1499,,,,
429,1502,,,,
430,1559,,,,
431,1501,,,,
432,1503,,,,
433,1504,,,,
434,2183,,,,
435,1494,,,,
436,1500,,,,
437,1492,,,,
438,1497,,,,
439,1493,,,,
440,2196,,,,
441,2188,,,,
442,2195,,,,
443,2194,,,,
444,2185,,,,
445,2187,,,,
446,2182,,,,
447,2193,,,,
448,2184,,,,
449,2186,,,,
450,2189,,,,
451,1858,,,,
452,1851,,,,
453,1850,,,,
454,1852,,,,
455,1857,,,,
456,1849,,,,
457,1759,,,,
458,1846,,,,
459,1567,,,,
460,1528,,,,
461,1566,,,,
462,1184,,,,
463,1511,,,,
464,1510,,,,
465,1517,,,,
466,1565,,,,
467,1518,,,,
468,1447,,,,
469,1545,,,,
470,1464,,,,
471,1860,,,,
472,1882,,,,
473,1880,,,,
474,1862,,,,
475,1878,,,,
476,1760,,,,
477,1859,,,,
478,1877,,,,
479,1861,,,,
480,1449,,,,
481,2079,,,,
482,2086,,,,
483,2157,,,,
484,2082,,,,
485,2080,,,,
486,2081,,,,
487,2156,,,,
488,2174,,,,
489,2075,,,,
490,2173,,,,
491,2155,,,,
492,2456,,,,
493,1549,,,,
494,1402,,,,
495,1401,,,,
496,2005,,,,
497,2004,,,,
498,1404,,,,
499,2166,,,,
500,2417,,,260.71173095703125,209.07289123535156
501,670,,,,
502,2160,,,53.12690353393555,23.60141944885254
503,2141,,,,
504,2161,,,,
505,679,,,,
506,2164,,,,
507,2162,,,,
508,2163,,,,
509,2159,,,,
510,2147,,,,
511,2158,,,,
512,656,,,77.93694305419922,88.28369140625
513,2419,,,,
514,693,,,,
515,655,,,,
516,691,,,,
517,692,,,,
518,401,,,,
519,658,,,,
520,402,,,,
521,651,,,,
522,650,,,,
523,2426,,,,
524,678,,,,
525,680,,,,
526,2055,,,,
527,2056,,,,
528,2053,,,,
529,2523,,,,
530,2001,,,,
531,1995,,,,
532,1996,,,,
533,1994,,,,
534,677,,,,
535,659,,,,
536,2528,,,,
537,2529,,,,
538,1469,,,,
539,663,,,,
540,657,,,,
541,2165,,,,
542,666,,,,
543,667,,,,
544,2167,,,,
545,668,,,,
546,2168,,,,
547,669,,,,
548,2411,,,7.892305850982666,6.625858783721924
549,1233,,,,
