,ID1,AB_Flow,BA_Flow,Tot_Flow,AB_Time,BA_Time,Max_Time,AB_VOC,BA_VOC,Max_VOC,AB_VMT,BA_VMT,Tot_VMT,AB_VHT,BA_VHT,Tot_VHT,AB_Speed,BA_Speed
3214,218677,133.14437314728275,,133.14437314728275,0.5071009993553162,,0.5071009993553162,0.06657218657364138,,0.06657218657364138,33.75872314047378,,33.75872314047378,1.1252940780254033,,1.1252940780254033,29.999911845009894,
3215,218678,,1054.9295869886846,1054.9295869886846,,0.5485066175460815,0.5485066175460815,,0.5274647934943423,0.5274647934943423,,285.9972425544849,285.9972425544849,,9.643930991807471,9.643930991807471,,29.65567078377478
3216,218679,,614.3418005523126,614.3418005523126,,0.08884850144386292,0.08884850144386292,,0.30717090027615634,0.30717090027615634,,27.255278546256456,27.255278546256456,,0.9097224725566249,0.9097224725566249,,29.95999260044659
3217,218680,,440.58778643637197,440.58778643637197,,0.11933203786611557,0.11933203786611557,,0.220293893218186,0.220293893218186,,26.278835915935808,26.278835915935808,,0.8762706402395529,0.8762706402395529,,29.989405908603484
3218,218681,164.52379590699275,,164.52379590699275,0.5650115609169006,,0.5650115609169006,0.08226189795349638,,0.08226189795349638,46.47860465926338,,46.47860465926338,1.5492974455563926,,1.5492974455563926,29.99979428906353,
3219,218682,59.72972903828486,,59.72972903828486,0.0934629961848259,,0.0934629961848259,0.02986486451914243,,0.02986486451914243,2.791259496102371,,2.791259496102371,0.0930419906204317,,0.0930419906204317,29.99999760849291,
3220,218683,,104.79406686870789,104.79406686870789,,0.13785216212272644,0.13785216212272644,,0.052397033434353944,0.052397033434353944,,7.223036539976064,7.223036539976064,,0.24076814492474924,0.24076814492474924,,29.99996757143095
3221,218684,1011.5660520576857,,1011.5660520576857,0.5003146529197693,,0.5003146529197693,0.5057830260288428,,0.5057830260288428,250.59078307225207,,250.59078307225207,8.435021970677704,,8.435021970677704,29.708373486562305,
3222,218685,661.7304975890293,,661.7304975890293,0.09816037863492966,,0.09816037863492966,0.3308652487945146,,0.3308652487945146,32.419579766555835,,32.419579766555835,1.0825952699603254,,1.0825952699603254,29.946167941177073,
3223,218686,,349.8355544686565,349.8355544686565,,0.13293558359146118,0.13293558359146118,,0.17491777723432825,0.17491777723432825,,23.249530880239845,23.249530880239845,,0.7750932265722209,0.7750932265722209,,29.99578642050425
